|17
raining|5
kids singing at a graduation ceremony|2
`birthday party|1
skunk float parade crowd tree sky|1
motorbike street parade|1
yellow|3
four|1
woods|1
police take part in a ceremony|1
trash can|2
ornate|1
balloon string tree sky bush parade|1
woman opening a rectangular container|1
marching|272
graduates going on stage|1
babies birthday party|11
children playing sport|1
dog toy|1
wake up|1
playing in the gym|1
young kids singing in a setting|1
pipe band street parade|1
toddler holding hands with adult|1
people sing drunkenly in a room|1
baby makes a mess eating spaghetti|1
people watching floats|1
girl smiling|1
people talking in background|1
no clue|2
crowds cheering|1
screaming|24
walking across stage|4
prize|1
aladdin on float|1
straws|1
spectators cheering|1
one guy falls|1
tired|1
glasss|1
railing|4
adults watching|3
woman making peace sign with two fingers|1
kids cap gown curtain boy girl door|1
cooking|3
fingers|1
burst balloon|1
people graduating shown on a big screen|1
crouch|1
singing in the garden|1
reporter|1
avery|1
people watching and taking pictures|1
speaker calling graduates|1
china|3
dorm|1
person eating|1
kids|333
military|42
projection|1
asian ppl waving hands|1
happy birthday song hospital nurses asian|1
stern|1
kids costume hat street sign|1
school basketball game|1
they go the other end|1
plays music|1
ball bounces on ground|1
boy cake candle flame dark sweater|1
music|489
strike|1
marchers|12
females|1
relax|1
speech at graduation ceremony|1
glass|3
young women|1
ducks|1
baby eating spaghetti|1
graduate ceremony|2
people marching|3
night lights car police street parade|1
parade playing christmas songs|1
dog celebrate birthday|1
baby playing with ballons|1
wand|3
ancient clothing|1
child's birthday party|1
cookers|1
kids meet baseball team|1
assembly in gym|1
makot|1
travel|1
butterflies|1
walking dogs|1
standing in single file|1
tavern|1
grandad|1
youngest son is toddler|1
babies birtthday party|1
pyjamas|1
glow-in-the-dark|1
tetra|1
baby smiling|1
backdrop|2
wine|3
bdaay|1
night parade people float|1
musical instraments|1
chocolate cake|1
building crowd building sign tree|1
amusement park parade|1
1st birthday|5
singing class|2
fir|1
backpack|1
girls and boys|1
birthday video message|1
kids singing at their graduation ceremony|2
girl blowing out candle|1
armoured|1
veterans parade|2
band street costume flag kight pole building|1
truck parade|3
birthday balloon|2
concord|1
bowls|1
childen|3
sword fight|1
dubstep|1
woen|1
ring|2
birthday for  a young boy|1
singing song|1
ceromony|14
gradation|1
house tree parade sky flag float|1
children playing soccer|4
rc|1
hairbows|1
ballet performance|2
kid talking|3
yoko ono's birthday|1
pumpkins|2
shelves|3
hands waving|1
musicians|8
elmo|4
pipe bag music|2
mortarboards|2
singing happy birthday to a dog|1
dancing baby|1
spinning|4
people dancing|2
basketball|181
service|3
bicycle parade|1
adult helping out a little bit|1
opening present|8
bright neon lights|3
legs|1
light sabre|1
cushions|1
kicking ball to each other|1
boy removed object from a box|1
majorette|1
tree|35
picture of child|1
school parade|2
paddles|1
dressup|1
dogs on table|1
people graduate|1
group men women choir|1
white uniforms|1
wedding parade|1
happy birthday song singing baby cake|1
sun umbrellas|1
parade w floats|1
baby climbing on furniture|1
man speaking on podium|1
bleachers|19
parade car float|1
curtain stage podium man cap gown|1
doors|4
highschool graduation|1
birthday party at school|2
kids parade|2
little girl|7
graduation day|1
letter|1
thriller|3
singer|6
professor|3
giant inflatable cartoon|1
sports jersey|1
graduation hats|1
asia|1
children playing|3
ball playing|1
lit fir|1
lessons|1
capes|1
birthday cupcake|5
some kind of graduation|1
asian dancers|1
introducing someone|1
milaitary|1
bush|1
pparade|1
incredibles|1
plate|7
young makes|1
honda|1
people dancing and clapping|1
cushion|1
boy and birthday cake|1
universtity|1
crowds watch a parade going down a street|1
mickey mouse candy bag|1
kids  graduation|1
fair|9
kids  and grandpa are sitting at a table|1
brithday|1
woman cuts birthday card|1
score|1
kids team pratice|1
jumpsuit|1
children playing in yard|1
pirate|5
nature|1
beautiful parade float|1
summer camp|1
silly string|1
eating donut|1
queing at a counter|1
kids getting diplomas|1
chilean parade|1
car advertising summer camp|1
waving hello|2
little kids birthday cake with a musical candle|1
sons graduation|1
wearing uniforms|1
chilfdren|1
outdoor market of hand-made wooden goods|1
playing instruments|5
felicidad|2
kids boy chair floor door shirt eyes|1
religious parade|1
watercraft|1
posing for family photo|1
giant balloon|1
white caps/gowns|3
stadium|26
girls chatting|1
shooting basketball|1
baloon|7
people singing|8
eastern|1
kids in a play|1
chile|2
child|397
kid open gifts|1
babies birthday|3
greeting visitors|1
sky cloud float mickey road|1
seven dwarves dancing|1
congratulation|1
military song being chanted|1
students singing at graduation|1
hometown float|1
big candle|1
plastic container|1
highland avenue|1
post-commencement|1
babies|3
baseball balloon|1
cap gown group wall|1
food/drink on table|1
people do a dance|1
a basketball team of children are having a party and the referee whistles for a foul and explains that|1
photographers|2
little kids singing|2
graduations|1
baby talk|3
nursing graduation|1
disney street parade|2
dog eating something|1
broken glasses|1
boys and girls|1
girl boy chair cake table plant|1
rotated|1
child playing|1
handshake|10
a woman playing a guitar and singing with young students|1
graduate intros|1
main street|3
prison|1
hat|42
float balloons sign street people|1
truck tree sky|1
baby talking|2
chearing|3
huge parade float|1
opening it|1
children training football|1
spinning mollusk|1
police car|2
pavement|5
flag drill team|1
steps|13
people camera floor kids hat|1
after graduation|2
senior students graduate|1
old|2
crowd|545
chinese dragon does a display|1
crown|5
crows|2
baby birthday singing cupcake candle highchair|1
light candles|1
trombone|1
girl talking|1
family attending graduation ceremony|1
umg|2
rundlett middle school|1
shakey|1
trampoline|1
birthday cake and party food|1
child man cake table flame|1
graduation re h|1
bowing|3
baby eat plate cake chair|1
filipino|1
musical band|1
individuals graduate and walk off the stage|1
graduation ceremony on a field|1
loud mom yelling|1
car show|1
baby tries to say happy birthday|1
son|1
kid graduating|3
birthday meal|2
entrenador|1
shoots|1
male portrait|1
accepting rewards|1
childrens rides|1
picture taking|21
triplets|2
happy|42
school ceremony|1
happing birthday song|1
little boy b;owing out candle on cupcake|1
step rail girl birthday cake family|1
present opening|1
birthday party for a little boy|1
childrens' graduation ceremony|6
congratulations|2
silliness|1
inside|55
2 dogs on table|1
sky tree building window people street|1
blowing out the candle|1
crowd waving|2
lays|1
holding bottle|1
graduation gowns|3
students singing at a graduation ceremony|1
kids make a lot of noise|1
tournament|1
candle|269
childrens fancy dress party|1
third birthday|1
crutches|2
floor|16
crowns|1
computer science|2
disney balloon|1
dad boy wall flower chair map|1
school play|2
rehearsing|2
palms|1
models|1
birthday spanking|1
jewelry|1
banners|26
baby dancing|1
gown|51
childs|1
thanking teachers|1
marching in parade|1
children kicking ball|1
micky mouse|1
woman talking|2
chair|50
feeding a baby|1
ballet|3
religion|1
a school dignitary making a speech as graduating students enter the venue|1
bicycles|6
veterans|1
latin kids|1
icing|1
little boy on stage speaking foreign language|1
crowd watch event on the street|1
ghostbusters|3
cum laude|1
cooks|1
minnie|1
crustacean|2
childrens scholl graduation|1
foam containers|1
team|21
friends applauding|1
kid opening a gift|1
collage|1
little kids graduation party|1
sign|10
wall balloons stars podium banner kids adults|1
cars race round a track|1
soccor|1
headset|1
children graduation ceromony|3
dancing at a bar|1
candle on cake|3
golf carts|5
chef hata|1
funeral|1
military group|1
scary face on float|1
graduation ceremony in park|1
militar|1
passengers|1
dusty|1
light parade|1
queue|2
senior students graduating|3
ambluances|1
young peoples graduation|1
captain hook|4
si nging|1
canadian national anthem|1
daisy duck|1
people sat down|2
grads walk down the stairs|1
young man displaying "peace" sign with fingers|1
peope|1
luau|1
child looking thru window|1
family birthday party|6
they use insulting words|1
riders|4
mascot|9
logos|1
music street parade|1
people laughing|1
bikers rally|1
doorway table kids cake flame candle plate wall|1
opening presents|18
block party with dancing|1
parachute|3
kids playing games|1
drinking a drink|1
univerisy of bridgeport|1
pom poms|5
winter|5
celebracion|2
sign people costume parade criowd|1
birthday singing|1
vancouver|1
people wearing headphones|1
gradiation en skewl|1
kids playing|4
family visiting|1
elmo dancing with little children|1
girl dark mic duet boy girl flash|1
risas|1
announcing names|10
wheelchair|3
truck|44
garlands|4
birthday preperations|1
toddler playing with balloon|1
kids in truck watch  a parade|1
rubber horse|1
professors|3
course|1
city building street cars people|1
man with whip|1
cap gown banner flag pole seats rail stage crowd|1
boy talking|1
machine|1
lady sings happy birthday to a baby|1
parade`|1
attraction|1
dwarfs|10
sports day parade|1
kids in caps and gowns|1
doll|3
pipe bag parade|1
milatary|6
another follows|1
childrens graduation|13
ketchup|1
clown fish|2
flag street drum band hat tree branch banner house|1
fish float|1
young girl who is going to graduate is walking and getting her diploma|1
baby in chair|1
parent and child|1
bowling|7
people wearing orange|1
parade1|3
turtle|3
boy5|1
horse parade|1
this little light|1
child sat down|2
thanksgiving parade|1
tour group|1
boy cake balloon table candle|1
container|1
dark blue caps/gowns|1
young girl celebrating|2
mortar board and gowns|1
exploding|1
birthdyay cake|1
street parade with dancing|1
and laughing|1
grandma|2
group of friends|1
fire ritual|1
teacher dressed as a witch|1
halloween costume parade at an elementary school|1
3 years old|1
band parade|2
microphones|10
one|5
spanish|2
open|4
blue caps/gowns|2
bite|1
meet and greet|1
man drinking beer|1
diploma/degree|1
people walk across the graduation stage|1
people stage podium speech|1
people lining up and celebrating|1
truck building flag float people|1
adult business shool graduation|1
lights night teacup parade crowd float|1
bitrhday party|1
night time|67
its birthday party|2
children stood up|1
sam|1
graduation gratitude speech|1
float boys parade house light|1
kid throws off hat|1
trying new camera|1
kids cake candle flame dark table flash|1
palm tree|1
835260|2
roadside|5
handshaking|2
she shows her gifts|1
butterfly|3
camera flashes|4
recognition|1
buffet|2
us map|1
webcast to a birthday person|1
happy birthday occasion for dogs|1
winnie the pooh|6
class 2009|1
lawn|2
graduation event|15
old man birthday|1
stilts|9
nred in kitchen watching crowds|1
a car drives by stationery cars.|1
